iter	RMSE
0	60.05947135
1	58.31882093
2	56.77842949
3	55.30704278
4	54.08899544
5	52.72744692
6	51.42773895
7	50.29307358
8	48.92875729
9	47.76972802
10	46.95438585
11	45.76200413
12	45.07136082
13	44.046819
14	43.10325267
15	42.54273856
16	41.71602755
17	41.04114422
18	40.42222059
19	39.84060141
20	39.43134331
21	38.99306452
22	38.4090775
23	38.04470769
24	37.6701577
25	37.30613907
26	36.99511565
27	36.68470416
28	36.41666282
29	36.15447365
30	35.9038696
31	35.51319147
32	35.30153606
33	34.99476237
34	34.81020671
35	34.66574109
36	34.15653184
37	33.86861254
38	33.68530846
39	33.1860298
40	33.05522035
41	32.8687415
42	32.66346888
43	32.5581917
44	32.36541252
45	32.20891743
46	32.01121133
47	31.76188207
48	31.58962793
49	31.27617932
50	31.1465725
51	30.8633038
52	30.69883434
53	30.61237146
54	30.24048486
55	30.03051596
56	29.965498
57	29.78347301
58	29.64395892
59	29.48992009
60	29.42439481
61	29.32590482
62	29.12501476
63	28.93385839
64	28.79385747
65	28.32579501
66	28.26399441
67	28.10810494
68	27.84155926
69	27.64907062
70	27.52476494
71	27.40565847
72	27.20385684
73	26.80376485
74	26.529926
75	26.32630699
76	26.21258574
77	26.14342188
78	25.87709592
79	25.82909536
80	25.68409425
81	25.6039209
82	25.29708101
83	25.19734305
84	25.109626
85	25.07829194
86	25.02814441
87	24.8785182
88	24.62271635
89	24.48185149
90	24.37316069
91	24.13192903
92	24.10328026
93	23.93021402
94	23.83579873
95	23.76815541
96	23.59963703
97	23.52575168
98	23.49201927
99	23.39196582
100	23.28822742
101	23.18321812
102	23.06807604
103	22.97320413
104	22.80384876
105	22.61608761
106	22.53050349
107	22.42429136
108	22.34760232
109	22.32404416
110	22.29794365
111	22.04665017
112	21.92520412
113	21.83106902
114	21.80606797
115	21.74164154
116	21.5776479
117	21.49954891
118	21.4438537
119	21.23799706
120	21.1405166
121	21.03775747
122	20.97544019
123	20.86805799
124	20.74267525
125	20.65639638
126	20.59381988
127	20.45954479
128	20.27415843
129	20.10057094
130	20.04565192
131	19.89765381
132	19.84490309
133	19.79615832
134	19.73197421
135	19.58327745
136	19.47941069
137	19.35858891
138	19.21742604
139	19.11841042
140	19.05568282
141	19.02252146
142	18.95068878
143	18.89037418
144	18.84837685
145	18.74987966
146	18.66689508
147	18.54298993
148	18.49598945
149	18.44871523
150	18.36126011
151	18.32709804
152	18.28642178
153	18.23772222
154	18.16925578
155	18.10325619
156	18.0045095
157	17.96576693
158	17.93469401
159	17.84318722
160	17.81665364
161	17.77084174
162	17.71221336
163	17.65634213
164	17.60549739
165	17.48679403
166	17.40555228
167	17.37263361
168	17.34549558
169	17.31713143
170	17.22519814
171	17.17970569
172	17.06821
173	16.99642655
174	16.92364284
175	16.84385738
176	16.78704593
177	16.68682404
178	16.58587633
179	16.50113895
180	16.4247191
181	16.38049949
182	16.28349674
183	16.22462017
184	16.16994104
185	16.15098809
186	16.09922077
187	16.06051712
188	15.97478395
189	15.89894427
190	15.82708548
191	15.7973149
192	15.75809578
193	15.71536112
194	15.66587983
195	15.62114292
196	15.57945058
197	15.53055275
198	15.46321058
199	15.43767647
200	15.41142072
201	15.39184766
202	15.32016559
203	15.26835832
204	15.24233818
205	15.20219344
206	15.18267282
207	15.15685591
208	15.13496481
209	15.10382754
210	15.08773701
211	15.02895623
212	14.96332963
213	14.89326576
214	14.85496685
215	14.83233787
216	14.80563948
217	14.74157392
218	14.69803108
219	14.62063766
220	14.60283214
221	14.54049404
222	14.48310914
223	14.43601118
224	14.39522651
225	14.35433302
226	14.33213525
227	14.30060011
228	14.25777943
229	14.22523756
230	14.20068881
231	14.14011035
232	14.11872937
233	14.10758547
234	14.06717045
235	14.03810631
236	14.01282777
237	13.95658744
238	13.93487752
239	13.91603178
240	13.87767052
241	13.83389007
242	13.79388321
243	13.76106419
244	13.73987034
245	13.7229701
246	13.70391887
247	13.65569601
248	13.59884437
249	13.58496323
250	13.57440711
251	13.52642902
252	13.50244189
253	13.48229012
254	13.43645363
255	13.39586697
256	13.3836781
257	13.3441859
